style,color,url
D1495, Navy,https://www.dropbox.com/s/t7alv8sqxl9tswp/D1495%20Navy_wm.jpg?dl=1
D1495, White,https://www.dropbox.com/s/qecjbi900slhgzc/D1495%20White_wm.jpg?dl=1
D1496, Blue,https://www.dropbox.com/s/dfn0xjmh77mjl73/D1496%20Blue_1_wm.jpg?dl=1
D1496, Blue,https://www.dropbox.com/s/texzhpm6ia97a4h/D1496%20Blue_2_wm.jpg?dl=1
D1496, Blue,https://www.dropbox.com/s/6ucyxh8r1r9f2xk/D1496%20Blue_3_wm.jpg?dl=1
D1497, Lime green,https://www.dropbox.com/s/w4vfjkrpewiq6l4/D1497%20Lime%20green_back_wm.jpg?dl=1
D1497, Lime green,https://www.dropbox.com/s/8juc8fjwswtf4vg/D1497%20Lime%20green_wm.jpg?dl=1
D1498, Navy,https://www.dropbox.com/s/hvq3w078yzf4966/D1498%20Navy_1_wm.jpg?dl=1
D1498, Navy,https://www.dropbox.com/s/h9h2yxrppoafcfe/D1498%20Navy_2_wm.jpg?dl=1
D1498, Navy,https://www.dropbox.com/s/i4c8886d85tfpgb/D1498%20Navy_back_wm.jpg?dl=1
D1498, Purple-gold,https://www.dropbox.com/s/lqzfyjnjsjikcz0/D1498%20Purple-gold_wm.jpg?dl=1
D1498, Red-blk,https://www.dropbox.com/s/6vaxo78ybownnmf/D1498%20Red-blk_wm.jpg?dl=1
D1499, Champagne,https://www.dropbox.com/s/jocwbqhppc06vh4/D1499%20Champagne_wm.jpg?dl=1
D1499, Copper,https://www.dropbox.com/s/b20mt3km5zdrc3j/D1499%20Copper_back_wm.jpg?dl=1
D1499, Copper,https://www.dropbox.com/s/h9nzl2ro00ugdse/D1499%20Copper_wm.jpg?dl=1
D1499, White,https://www.dropbox.com/s/o2fu0nnuusxkcw3/D1499%20White_wm.jpg?dl=1
D1500, Ivory,https://www.dropbox.com/s/gzn75tyfd7skddx/D1500%20Ivory_1_wm.jpg?dl=1
D1500, Ivory,https://www.dropbox.com/s/slo5sb3k154vxkh/D1500%20Ivory_2_wm.jpg?dl=1
